Old_Range,Old_ExtraAffectResult,New_Damage,New_FullRangeDescription,Old_WasEditedForGame,New_NumOfTurns,Old_NumOfTargets,Old_LengthOfBonusAffect,Old_FullRangeDescription,New_LengthOfExtraAffect,Old_Damage,New_ContributedBy,Old_NumOfTurns,New_LengthOfBonusAffect,Old_AttackCategory,Old_AccuracyBonusType,Old_AC,New_AccuracyBonusType,New_ElementType,New_ContestStats,Old_AccuracyBonusResult,Old_ContributedBy,New_WasEditedForGame,AttackName,New_NumOfTargets,New_Category,New_AC,Old_AccuracyCheckBonus,New_AttackEffects,Old_ExtraAffectType,Old_ContestStats,New_Frequency,New_AccuracyCheckBonus,New_ExtraAffectType,Old_Frequency,Old_LengthOfExtraAffect,New_Range,New_AttackCategory,New_ExtraAffectResult,New_AccuracyBonusResult,Old_ElementType,Old_Category,Old_AttackEffects
Ranged (6),,-,"Ranged (6), 1 Target",0,, 1 Target,,"Ranged (6), 1 Target",,-,,,,,,0,,Grass,Beauty - 2d4 - Get Ready!,,,0,Spore, 1 Target,Effect,0,,The target falls Asleep.,,Beauty - 2d4 - Get Ready!,Center,,,Center,,Ranged (6),,,,Grass,Effect,The target falls Asleep.
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Grass,Smart - None - Reflective Appeal,,,0,Synthesis, No Target,Effect,0,,"The user regains HP equal to half of its full HP. If it is Sunny, the user gains 2/3 of its full HP. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full HP. *Grants: Sprouter",,Smart - None - Reflective Appeal,Center,,,Center,,Self,,,,Grass,Effect,"The user regains HP equal to half of its full HP. If it is Sunny, the user gains 2/3 of its full HP. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full HP. *Grants: Sprouter"
Ranged (10),,1d12+6,"Ranged (10), 1 Target",0,, 1 Target,,"Ranged (10), 1 Target",,1d12+6,,,,,,2,,Grass,Cool - 3d4 - No Effect,,,0,Vine Whip, 1 Target,Physical,2,,*Grants: Threaded,,Cool - 3d4 - No Effect,At-Will,,,At-Will,,Ranged (10),,,,Grass,Physical,*Grants: Threaded
Ranged (8),,-,"Ranged (8), 1 Target",0,, 1 Target,,"Ranged (8), 1 Target",,-,,,,,,2,,Grass,Beauty - 2d4 - Excitement,,,0,Worry Seed, 1 Target,Effect,2,,"The target's Ability is replaced with Insomnia. If the target has multiple Abilities, Worry Seed only replaces one.",,Beauty - 2d4 - Excitement,Battle,,,Battle,,Ranged (8),,,,Grass,Effect,"The target's Ability is replaced with Insomnia. If the target has multiple Abilities, Worry Seed only replaces one."
Melee,,3d8+10,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,3d8+10,,,,,,5,,Ground,Tough - 3d4 - No Effect,Flinches,,0,Bone Club, 1 Target,Physical,5,18,Bone Club Flinches the target on 18-20 during Accuracy Check.,,Tough - 3d4 - No Effect,EOT,18,,EOT,,Melee,,,Flinches,Ground,Physical,Bone Club Flinches the target on 18-20 during Accuracy Check.
Melee,,3d10+12,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,3d10+12,,,,,,3,,Ground,Cool - 3d4 - No Effect,,,0,Drill Run, 1 Target,Physical,3,,Drill Run is a Critical Hit on 18-20 during Accuracy Check.,,Cool - 3d4 - No Effect,EOT,,,EOT,,Melee,,,,Ground,Physical,Drill Run is a Critical Hit on 18-20 during Accuracy Check.
Ranged (2),,20,"Ranged (2), 1 Target",0,, 1 Target,,"Ranged (2), 1 Target",,20,,,,,,4,,Ice,Beauty - 3d4 - No Effect,,,0,Frost Breath, 1 Target,Special,4,,Frost Breath is a Critical Hit.,,Beauty - 3d4 - No Effect,Battle,,,Battle,,Ranged (2),,,,Ice,Special,Frost Breath is a Critical Hit.
Ranged (5),,3d8+10,"Ranged (5), 1 Target",0,, 1 Target,,"Ranged (5), 1 Target",,3d8+10,,,,,,3,,Ice,Beauty - 3d4 - No Effect,,,0,Glaciate, 1 Target,Special,3,,"Glaciate creates a 5-meter Burst. All Legal Targets have their Speed lowered 1 Combat Stage. On a roll of 11-20 during Accuracy Check, all Legal Targets on the ground are Trapped and cannot shift for 2 rounds.",,Beauty - 3d4 - No Effect,Battle,,,Battle,,Ranged (5),,,,Ice,Special,"Glaciate creates a 5-meter Burst. All Legal Targets have their Speed lowered 1 Combat Stage. On a roll of 11-20 during Accuracy Check, all Legal Targets on the ground are Trapped and cannot shift for 2 rounds."
Melee,,3d8+10,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,3d8+10,,,,,,3,,Ice,Cool - 3d4 - No Effect,Flinches,,0,Ice Fang, 1 Target,Physical,3,18,"Ice Fang Freezes or Flinches on 18-19 during Accuracy Check; flip a coin to determine whether the foe gets Frozen or Flinches. On 20 during Accuracy Check, the foe is Frozen and Flinches.",,Cool - 3d4 - No Effect,EOT,18,,EOT,,Melee,,,Flinches,Ice,Physical,"Ice Fang Freezes or Flinches on 18-19 during Accuracy Check; flip a coin to determine whether the foe gets Frozen or Flinches. On 20 during Accuracy Check, the foe is Frozen and Flinches."
Melee,,3d10+12,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,3d10+12,,,,,,2,,Ice,Beauty - 2d4 - Round Starter,,,0,Ice Punch, 1 Target,Physical,2,,Ice Punch Freezes the target on 19-20 during Accuracy Check.,,Beauty - 2d4 - Round Starter,EOT,,,EOT,,Melee,,,,Ice,Physical,Ice Punch Freezes the target on 19-20 during Accuracy Check.
Ranged (6),,3d12+14,"Ranged (6), 1 Target",0,, 1 Target,,"Ranged (6), 1 Target",,3d12+14,,,,,,4,,Ice,Tough - 3d4 - No Effect,Flinches,,0,Icicle Crash, 1 Target,Physical,4,15,Icicle Crash Flinches the target on 15-20 during Accuracy Check.,,Tough - 3d4 - No Effect,Battle,15,,Battle,,Ranged (6),,,Flinches,Ice,Physical,Icicle Crash Flinches the target on 15-20 during Accuracy Check.
Melee,,-,"Melee, 1 Target or Target Self",0,, 1 Target or Target Self,,"Melee, 1 Target or Target Self",,-,,,,,,2,,Normal,Cool - None - Get Ready!,,,0,Acupressure, 1 Target or Target Self,Effect,2,,"Roll 1d6. On a result of 1, raise the target's Attack 2 Combat Stages. On a result of 2, raise the target's Defense 2 Combat Stages. On a result of 3, raise the target's Special Attack 2 Combat Stages. On a result of 4, raise the target's Special Defense 2 Combat Stages. On a result of 5, raise the target's Speed 2 Combat Stages. On a result of 6, the target needs -2 to hit during Accuracy Checks.",,Cool - None - Get Ready!,EOT,,,EOT,,Melee,,,,Normal,Effect,"Roll 1d6. On a result of 1, raise the target's Attack 2 Combat Stages. On a result of 2, raise the target's Defense 2 Combat Stages. On a result of 3, raise the target's Special Attack 2 Combat Stages. On a result of 4, raise the target's Special Defense 2 Combat Stages. On a result of 5, raise the target's Speed 2 Combat Stages. On a result of 6, the target needs -2 to hit during Accuracy Checks."
Self ,,-,"Self , 1 Target",0,, 1 Target,,"Self , 1 Target",,-,,,,,,0,,Normal,Smart - 2d4 - Slow Set,,,0,After You, 1 Target,Effect,0,,"The target goes first during the next round of combat, ignoring Speed stats. They may not be Interrupted by any Moves that round.",,Smart - 2d4 - Slow Set,Center,,,Center,,Self ,,,,Normal,Effect,"The target goes first during the next round of combat, ignoring Speed stats. They may not be Interrupted by any Moves that round."
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Cute - 2d4 - Scrambler,,,0,Assist, No Target,Effect,0,,Randomly select another pokemon on the user's roster and then randomly select a Move that Pokemon knows. Assist's user uses that Move immediatley.,,Cute - 2d4 - Scrambler,Battle,,,Battle,,Self,,,,Normal,Effect,Randomly select another pokemon on the user's roster and then randomly select a Move that Pokemon knows. Assist's user uses that Move immediatley.
Ranged (10),,-,"Ranged (10), 1 Target",0,, 1 Target,,"Ranged (10), 1 Target",,-,,,,,,2,,Normal,Cute - 2d4 - Excitement,,,0,Attract, 1 Target,Effect,2,,Attract Infatuates the target. Attract may not affect something that is the same gender as the user or something that is genderless.,,Cute - 2d4 - Excitement,EOT,,,EOT,,Ranged (10),,,,Normal,Effect,Attract Infatuates the target. Attract may not affect something that is the same gender as the user or something that is genderless.
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Cute - None - Inversed Appeal,,,0,Baton Pass, No Target,Effect,0,,"The user is replaced with another pokemon from their trainer's roster. All Combat Stages and Coats on Baton Pass' user are transferred to the replacement. Baton Pass can ignore Traps, but the replacement is then Trapped.",,Cute - None - Inversed Appeal,At-Will,,,At-Will,,Self,,,,Normal,Effect,"The user is replaced with another pokemon from their trainer's roster. All Combat Stages and Coats on Baton Pass' user are transferred to the replacement. Baton Pass can ignore Traps, but the replacement is then Trapped."
Self,,-,"Self, 1 Target",0,, 1 Target,,"Self, 1 Target",,-,,,,,,0,,Normal,Cute - None - Get Ready!,,,0,Belly Drum, 1 Target,Effect,0,,Belly Drum's user loses HP equal to half of its full HP. Do not appliy the user's stats to the HP lost. Belly Drum sets the user's Attack to +6 Combat Stages.,,Cute - None - Get Ready!,Battle,,,Battle,,Self,,,,Normal,Effect,Belly Drum's user loses HP equal to half of its full HP. Do not appliy the user's stats to the HP lost. Belly Drum sets the user's Attack to +6 Combat Stages.
Ranged (4),,-,"Ranged (4), 1 Target",0,, 1 Target,,"Ranged (4), 1 Target",,-,,,,,,2,,Normal,Cute - None - Attention Grabber,,,0,Bestow, 1 Target,Effect,2,,"The user gives its held item to the target, unless the target is already holding an item.",,Cute - None - Attention Grabber,Battle,,,Battle,,Ranged (4),,,,Normal,Effect,"The user gives its held item to the target, unless the target is already holding an item."
Melee,,3d12+14,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,3d12+14,,,,,,2,,Normal,Tough - 3d4 - No Effect,,,0,Body Slam, 1 Target,Physical,2,,Body Slam Paralyzes the target on 15-20 during Accuracy Check.,,Tough - 3d4 - No Effect,EOT,,,EOT,,Melee,,,,Normal,Physical,Body Slam Paralyzes the target on 15-20 during Accuracy Check.
Self,,-,"Self, 1 Target",0,, 1 Target,,"Self, 1 Target",,-,,,,,,0,,Normal,Smart - 2d4 - Hold That Thought,,,0,Camouflage, 1 Target,Effect,0,,"The user changes their Type to match the field. Forests and grassy areas change the user into Grass-Type. Watery areas change the user into Water-Type. Caves and Mountains could change the user into Rock-Type or Ground-Type. An icy terrain would turn the user into Ice- Type. A building may change the user into Steel-Type or Normal-Type. Weather affects what Type the user becomes. Use common sense, if you are having difficult determining what type the user should become, consult the GM. *Grants: Blender",,Smart - 2d4 - Hold That Thought,EOT,,,EOT,,Self,,,,Normal,Effect,"The user changes their Type to match the field. Forests and grassy areas change the user into Grass-Type. Watery areas change the user into Water-Type. Caves and Mountains could change the user into Rock-Type or Ground-Type. An icy terrain would turn the user into Ice- Type. A building may change the user into Steel-Type or Normal-Type. Weather affects what Type the user becomes. Use common sense, if you are having difficult determining what type the user should become, consult the GM. *Grants: Blender"
Ranged (10),,-,"Ranged (10), 1 Target",0,, 1 Target,,"Ranged (10), 1 Target",,-,,,,,,2,,Normal,Beauty - 2d4 - Excitement,,,0,Captivate, 1 Target,Effect,2,,Captivate lowers the target's Special Attack 2 Combat Stages. Captivate may not affect something that is the same gender as the user or something that is genderless.,,Beauty - 2d4 - Excitement,EOT,,,EOT,,Ranged (10),,,,Normal,Effect,Captivate lowers the target's Special Attack 2 Combat Stages. Captivate may not affect something that is the same gender as the user or something that is genderless.
Ranged (10),,-,"Ranged (10), 1 Target",0,, 1 Target,,"Ranged (10), 1 Target",,-,,,,,,2,,Normal,Cute - 2d4 - Excitement,,,0,Charm, 1 Target,Effect,2,,Charm lowers the target's Attack 2 Combat Stages.,,Cute - 2d4 - Excitement,EOT,,,EOT,,Ranged (10),,,,Normal,Effect,Charm lowers the target's Attack 2 Combat Stages.
Melee,,3d8+10,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,3d8+10,,,,,,2,,Normal,Tough - 2d4 - Reliable,,,0,Chip Away, 1 Target,Physical,2,,Ignore any changes in the target's Defense or Special Defense when calculating damage.,,Tough - 2d4 - Reliable,EOT,,,EOT,,Melee,,,,Normal,Physical,Ignore any changes in the target's Defense or Special Defense when calculating damage.
Melee,,1d6+1,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,1d6+1,,,,,,2,,Normal,Tough - None - Torrential Appeal,,,0,Constrict, 1 Target,Physical,2,,Constrict lowers the target's Speed 1 Combat Stage.,,Tough - None - Torrential Appeal,At-Will,,,At-Will,,Melee,,,,Normal,Physical,Constrict lowers the target's Speed 1 Combat Stage.
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Beauty - 1d4 - Catching Up,,,0,Conversion, No Target,Effect,0,,The user becomes the elemental Type of their choice as long as they have a Move that is the same elemental Type until the end of the encounter. Replace all other Types.,,Beauty - 1d4 - Catching Up,At-Will,,,At-Will,,Self,,,,Normal,Effect,The user becomes the elemental Type of their choice as long as they have a Move that is the same elemental Type until the end of the encounter. Replace all other Types.
Self,,-,"Self, 1 Target",0,, 1 Target,,"Self, 1 Target",,-,,,,,,0,,Normal,Beauty - 1d4 - Catching Up,,,0,Conversion2, 1 Target,Effect,0,,The user becomes the elemental Type of their choice as long as the Type resists the elemental Type of the Move it last took damage from until the end of the encounter. Replace all other Types.,,Beauty - 1d4 - Catching Up,At-Will,,,At-Will,,Self,,,,Normal,Effect,The user becomes the elemental Type of their choice as long as the Type resists the elemental Type of the Move it last took damage from until the end of the encounter. Replace all other Types.
Ranged (15),,-,"Ranged (15), 1 Target",0,, 1 Target,,"Ranged (15), 1 Target",,-,,,,,,0,,Normal,Cool - None - Attention Grabber,,,0,Copycat, 1 Target,Effect,0,,Use the Move the target has used on their last turn. You may choose new targets for the Move. Copycat cannot miss.,,Cool - None - Attention Grabber,Center,,,Center,,Ranged (15),,,,Normal,Effect,Use the Move the target has used on their last turn. You may choose new targets for the Move. Copycat cannot miss.
Melee,,2d10+8,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,2d10+8,,,,,,2,,Normal,Cute - None - Attention Grabber,,,0,Covet, 1 Target,Physical,2,,"Covet takes the target's held item and attaches it to Covet's user, if the user is not holding anything.",,Cute - None - Attention Grabber,Battle,,,Battle,,Melee,,,,Normal,Physical,"Covet takes the target's held item and attaches it to Covet's user, if the user is not holding anything."
Melee,,5d12+18,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,5d12+18,,,,,,2,,Normal,Tough - 2d4 - Final Appeal,,,0,Crush Grip, 1 Target,Physical,2,,"For every 10% the target is below their full HP, Crush Grip's Damage Dice Roll is reduced by 1d12 to a minimum of 18.",,Tough - 2d4 - Final Appeal,Battle,,,Battle,,Melee,,,,Normal,Physical,"For every 10% the target is below their full HP, Crush Grip's Damage Dice Roll is reduced by 1d12 to a minimum of 18."
Melee,,2d8+6,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,2d8+6,,,,,,3,,Normal,Cool - 3d4 - No Effect,,,0,Cut, 1 Target,Physical,3,,-,,Cool - 3d4 - No Effect,At-Will,,,At-Will,,Melee,,,,Normal,Physical,-
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Cute - 2d4 - Hold That Thought,,,0,Defense Curl, No Target,Effect,0,,"Defense Curl raises the user's Defense 1 Combat Stage. If the user uses the Move Ice Ball or Rollout later in the encounter without having been switched out, each hit deals an additional 1d12+4 during Damage Dice Roll. The extra damage bonus for Ice Ball or Rollout does not stack.",,Cute - 2d4 - Hold That Thought,At-Will,,,At-Will,,Self,,,,Normal,Effect,"Defense Curl raises the user's Defense 1 Combat Stage. If the user uses the Move Ice Ball or Rollout later in the encounter without having been switched out, each hit deals an additional 1d12+4 during Damage Dice Roll. The extra damage bonus for Ice Ball or Rollout does not stack."
Ranged (10),,-,"Ranged (10), 1 Target",0,, 1 Target,,"Ranged (10), 1 Target",,-,,,,,,2,,Normal,Smart - 2d4 - Excitement,,,0,Disable, 1 Target,Effect,2,,"Name a Move. For the remainder of the encounter, the target may not use that Move; the Move is considered Disabled. A target may not have more then 1 Move Disabled, if a new move is Disabled, the last Disabled Move is no longer Disabled.",,Smart - 2d4 - Excitement,EOT,,,EOT,,Ranged (10),,,,Normal,Effect,"Name a Move. For the remainder of the encounter, the target may not use that Move; the Move is considered Disabled. A target may not have more then 1 Move Disabled, if a new move is Disabled, the last Disabled Move is no longer Disabled."
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Cool - 2d4 - Reliable,,,0,Double Team, No Target,Effect,0,,"The user makes three copies of themselves and places them into the encounter adjacent to the user. The user must place some sign under the token of the original copy to mark it as the original. If a copy is hit by a damaging Move, it is destroyed. If the original is hit by a damaging Move, all copies are destroyed. Any copy can perform a Move but the user is still only allowed one Move per turn. All copies may shift each turn. When the user and its copies are targeted by a Move, foes must roll +2 during Accuracy Check to hit for the remainder of the encounter. When a copy disappears, the user loses 1d6 HP. Do not apply weakness or resistance to HP lost. Do not apply stats to HP lost.",,Cool - 2d4 - Reliable,Center,,,Center,,Self,,,,Normal,Effect,"The user makes three copies of themselves and places them into the encounter adjacent to the user. The user must place some sign under the token of the original copy to mark it as the original. If a copy is hit by a damaging Move, it is destroyed. If the original is hit by a damaging Move, all copies are destroyed. Any copy can perform a Move but the user is still only allowed one Move per turn. All copies may shift each turn. When the user and its copies are targeted by a Move, foes must roll +2 during Accuracy Check to hit for the remainder of the encounter. When a copy disappears, the user loses 1d6 HP. Do not apply weakness or resistance to HP lost. Do not apply stats to HP lost."
Ranged (10),,1d12+6,"Ranged (10), 1 Target",0,, 1 Target,,"Ranged (10), 1 Target",,1d12+6,,,,,,2,,Normal,Smart - 2d4 - Reliable,,,0,Echoed Voice, 1 Target,Special,2,,"For every consecutive use of Echoed Voice, add 1d12 to its Damage Dice Roll to a maximum of 6d12+6. Consecutive uses of Echoed Voice can be used across different Pokemon. If Echoed Voice is not used at least once every turn, the ""consecutive uses"" of Echoed Voice are reset.",,Smart - 2d4 - Reliable,At-Will,,,At-Will,,Ranged (10),,,,Normal,Special,"For every consecutive use of Echoed Voice, add 1d12 to its Damage Dice Roll to a maximum of 6d12+6. Consecutive uses of Echoed Voice can be used across different Pokemon. If Echoed Voice is not used at least once every turn, the ""consecutive uses"" of Echoed Voice are reset."
Ranged (10),,-,"Ranged (10), 1 Target",0,, 1 Target,,"Ranged (10), 1 Target",,-,,,,,,2,,Normal,Cute - 1d4 - Good Show!,,,0,Encore, 1 Target,Effect,2,,"The target must use the same Move that it most recently used for the next 1d2+1 turns. If the Frequency of the move doesn't allow the Move to be used so often, the target instead cannot use a Move.",,Cute - 1d4 - Good Show!,Center,,,Center,,Ranged (10),,,,Normal,Effect,"The target must use the same Move that it most recently used for the next 1d2+1 turns. If the Frequency of the move doesn't allow the Move to be used so often, the target instead cannot use a Move."
Ranged (10),,-,"Ranged (10), 1 Target",0,, 1 Target,,"Ranged (10), 1 Target",,-,,,,,,2,,Normal,Cute - 1d4 - Catching Up,,,0,Entrainment, 1 Target,Effect,2,,Entrainment changes one of the target's abilities into one Ability that the user has for 1d4+1 turns.,,Cute - 1d4 - Catching Up,Battle,,,Battle,,Ranged (10),,,,Normal,Effect,Entrainment changes one of the target's abilities into one Ability that the user has for 1d4+1 turns.
Melee ,,3d8+10,"Melee , 1 Target",0,, 1 Target,,"Melee , 1 Target",,3d8+10,,,,,,2,,Normal,Cute - 2d4 - Final Appeal,,,0,Fa?ade, 1 Target,Physical,2,,"If the user is afflicted with a Status effect, use 5d12+22 instead for Damage Dice Roll. If the user is afflicted with a Status effect, Fa?ade's Frequency drops (EOT to Battle or At-Will to EOT).",,Cute - 2d4 - Final Appeal,EOT,,,EOT,,Melee ,,,,Normal,Physical,"If the user is afflicted with a Status effect, use 5d12+22 instead for Damage Dice Roll. If the user is afflicted with a Status effect, Fa?ade's Frequency drops (EOT to Battle or At-Will to EOT)."
Melee,,See Effect,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,See Effect,,,,,,2,,Normal,Cute - 2d4 - Final Appeal,,,0,Flail, 1 Target,Physical,2,,"If the user has more than 70% of its total HP, use 1d10+5 for Damage Dice Roll. If the user has more than 36% of its total HP, use 2d10+10. If the user has more than 21% of its total HP, use 3d10+10. If the user has more than 6% of its total HP, use 4d10+10. If the user has 1-5% of its total HP, use 5d10+20",,Cute - 2d4 - Final Appeal,EOT,,,EOT,,Melee,,,,Normal,Physical,"If the user has more than 70% of its total HP, use 1d10+5 for Damage Dice Roll. If the user has more than 36% of its total HP, use 2d10+10. If the user has more than 21% of its total HP, use 3d10+10. If the user has more than 6% of its total HP, use 4d10+10. If the user has 1-5% of its total HP, use 5d10+20"
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Smart - 1d4 - Good Show!,,,0,Foresight, No Target,Effect,0,,The user's Normal-Type and Fighting-Type Moves can now hit and affect Ghost-Type targets. Foresight's user is unaffected by the effects of Moves which make them have to roll higher during Accuracy Checks to hit. Targets may not use their Speed stat to modify Accuracy Checks. Foresight's user can identify the real target using Double Team.,,Smart - 1d4 - Good Show!,At-Will,,,At-Will,,Self,,,,Normal,Effect,The user's Normal-Type and Fighting-Type Moves can now hit and affect Ghost-Type targets. Foresight's user is unaffected by the effects of Moves which make them have to roll higher during Accuracy Checks to hit. Targets may not use their Speed stat to modify Accuracy Checks. Foresight's user can identify the real target using Double Team.
Melee,,4d12+16,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,4d12+16,,,,,,2,,Normal,Cute - 2d4 - Round Ender,,,0,Frustration, 1 Target,Physical,2,,The user may only use Frustration if its Loyalty is level 0 or 1.,,Cute - 2d4 - Round Ender,Battle,,,Battle,,Melee,,,,Normal,Physical,The user may only use Frustration if its Loyalty is level 0 or 1.
Ranged (5),,-,"Ranged (5), 1 Target",0,, 1 Target,,"Ranged (5), 1 Target",,-,,,,,,3,,Normal,Tough - 2d4 - Excitement,,,0,Glare, 1 Target,Effect,3,,Glare Paralyzes the target. Glare's user may not successfully use Glare more then three times per encounter.,,Tough - 2d4 - Excitement,At-Will,,,At-Will,,Ranged (5),,,,Normal,Effect,Glare Paralyzes the target. Glare's user may not successfully use Glare more then three times per encounter.
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Beauty - None - Get Ready!,,,0,Growth, No Target,Effect,0,,"Raise the user's Attack 1 Combat Stage and raise the user's Special Attack 1 Combat Stage. If it is Sunny, double the amount of Combat Stages gained. *Grants: Inflatable",,Beauty - None - Get Ready!,At-Will,,,At-Will,,Self,,,,Normal,Effect,"Raise the user's Attack 1 Combat Stage and raise the user's Special Attack 1 Combat Stage. If it is Sunny, double the amount of Combat Stages gained. *Grants: Inflatable"
Melee,,-,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,-,,,,,,15,,Normal,Cool - None - Big Show,,,0,Guillotine, 1 Target,Effect,15,,The target is set to 0 HP.,,Cool - None - Big Show,Center,,,Center,,Melee,,,,Normal,Effect,The target is set to 0 HP.
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Tough - 2d4 - Hold That Thought,,,0,Harden, No Target,Effect,0,,Raise the user's Defense 1 Combat Stage.,,Tough - 2d4 - Hold That Thought,At-Will,,,At-Will,,Self,,,,Normal,Effect,Raise the user's Defense 1 Combat Stage.
Melee,,-,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,-,,,,,,0,,Normal,Smart - 1d4 - Good Show!,,,0,Helping Hand, 1 Target,Effect,0,,The ally targeted with Helping Hand will have their next Move deal an additional 1d20 if the Move has a Damage Dice Roll. Helping Hand cannot miss.,,Smart - 1d4 - Good Show!,EOT,,,EOT,,Melee,,,,Normal,Effect,The ally targeted with Helping Hand will have their next Move deal an additional 1d20 if the Move has a Damage Dice Roll. Helping Hand cannot miss.
Melee,,-,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,-,,,,,,15,,Normal,Cool - None - Big Show,,,0,Horn Drill, 1 Target,Effect,15,,The target is set to 0 HP.,,Cool - None - Big Show,Center,,,Center,,Melee,,,,Normal,Effect,The target is set to 0 HP.
Self,,-,"Self, No Target",0,, No Target,,"Self, No Target",,-,,,,,,0,,Normal,Cool - None - Get Ready!,,,0,Howl, No Target,Effect,0,,Raise the user's Attack 1 Combat stage.,,Cool - None - Get Ready!,At-Will,,,At-Will,,Self,,,,Normal,Effect,Raise the user's Attack 1 Combat stage.
Melee,,3d10+12,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,3d10+12,,,,,,4,,Normal,Cool - 2d4 - Round Ender,Flinches,,0,Hyper Fang, 1 Target,Physical,4,19,Hyper Fang Flinches the target on 19-20 during Accuracy Check.,,Cool - 2d4 - Round Ender,EOT,19,,EOT,,Melee,,,Flinches,Normal,Physical,Hyper Fang Flinches the target on 19-20 during Accuracy Check.
Ranged (5),,-,"Ranged (5), 1 Target",0,, 1 Target,,"Ranged (5), 1 Target",,-,,,,,,2,,Normal,Cool - 2d4 - Excitement,,,0,Leer, 1 Target,Effect,2,,The target's Defense is lowered 1 Combat Stage.,,Cool - 2d4 - Excitement,At-Will,,,At-Will,,Ranged (5),,,,Normal,Effect,The target's Defense is lowered 1 Combat Stage.
Ranged (25),,-,"Ranged (25), 1 Target",0,, 1 Target,,"Ranged (25), 1 Target",,-,,,,,,0,,Normal,Smart - 1d4 - Good Show!,,,0,Lock-On, 1 Target,Effect,0,,"The target is Locked-On. The next Move that the User uses against the Target that requires an Accuracy Check cannot miss. Lock-On''s effect, on both the User and Target, can be affected by Baton Pass.",,Smart - 1d4 - Good Show!,Center,,,Center,,Ranged (25),,,,Normal,Effect,"The target is Locked-On. The next Move that the User uses against the Target that requires an Accuracy Check cannot miss. Lock-On''s effect, on both the User and Target, can be affected by Baton Pass."
Melee,,-,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,-,,,,,,2,,Normal,Beauty - 2d4 - Excitement,,,0,Lovely Kiss, 1 Target,Effect,2,,The target falls Asleep.,,Beauty - 2d4 - Excitement,Battle,,,Battle,,Melee,,,,Normal,Effect,The target falls Asleep.
Ranged (6),,-,"Ranged (6), 1 Target",0,, 1 Target,,"Ranged (6), 1 Target",,-,,,,,,0,,Normal,Beauty - 2d4 - Unsettling,,,0,Mean Look, 1 Target,Effect,0,,"The target may not flee or be switched until it is knocked out, for the remainder of the encounter.",,Beauty - 2d4 - Unsettling,Battle,,,Battle,,Ranged (6),,,,Normal,Effect,"The target may not flee or be switched until it is knocked out, for the remainder of the encounter."
Melee,,3d10+12,"Melee, 1 Target",0,, 1 Target,,"Melee, 1 Target",,3d10+12,,,,,,4,,Normal,Tough - 2d4 - Round Ender,,,0,Mega Punch, 1 Target,Physical,4,,-,,Tough - 2d4 - Round Ender,EOT,,,EOT,,Melee,,,,Normal,Physical,-
